Date,Open,High,Low,Close,Volume
2017-02-07,39560,39580,38760,38820,280836
2017-02-08,38740,38780,38200,38400,341859
2017-02-09,38780,38840,38220,38400,273883
2017-02-10,38400,38760,38300,38360,220415
2017-02-13,37740,38060,37720,37960,222041
2017-02-14,37960,38260,37320,37580,262483
2017-02-15,37080,37960,37080,37720,283831
2017-02-16,37800,38360,37780,38020,204527
2017-02-17,37560,38040,37280,37860,307549
2017-02-20,38220,38780,38160,38660,149716
2017-02-21,38540,39560,38420,38940,211252
2017-02-22,39000,39340,38980,39300,170789
2017-02-23,39020,39440,39020,39180,204346
2017-02-24,38960,39100,38060,38220,185937
2017-02-27,38020,38140,37700,38060,180674
2017-02-28,38060,38760,37960,38440,301774
2017-03-02,38420,39860,38420,39720,424996
2017-03-03,39340,39720,39160,39620,254174
2017-03-06,39220,40220,39220,40080,244697
2017-03-07,39800,40320,39800,40200,211065
2017-03-08,40200,40620,40140,40200,242819
2017-03-09,40200,40300,40020,40200,287445
2017-03-10,39960,40420,39860,40180,204556
2017-03-13,40040,40980,40040,40600,148482
2017-03-14,40620,41540,40500,41360,226501
2017-03-15,40800,41440,40800,41400,191757
2017-03-16,41800,42180,41540,41840,198663
2017-03-17,41800,42500,41720,42400,252046
2017-03-20,42000,42120,41740,41900,205001
2017-03-21,41780,42680,41760,42560,284403
2017-03-22,41600,42460,41580,42460,328545
2017-03-23,42200,42360,41700,41800,307942
2017-03-24,41600,41980,41080,41500,256163
2017-03-27,41200,41880,41180,41200,243553
2017-03-28,41560,41840,41380,41480,164325
2017-03-29,41740,41960,41580,41780,201865
2017-03-30,41880,42440,41880,41980,164080
2017-03-31,41820,42020,41200,41200,210006
2017-04-03,41400,41720,41300,41440,191588
2017-04-04,41600,42180,41520,42080,245110
2017-04-05,41900,42240,41700,42140,213994
2017-04-06,42000,42080,41600,41840,193668
2017-04-07,41800,41820,41160,41600,200420
2017-04-10,41940,41940,41500,41940,142827
2017-04-11,41940,41940,41580,41600,143458
2017-04-12,41860,41940,41700,41900,165498
2017-04-13,41660,42460,41660,42420,180816
2017-04-14,42160,42260,41760,42020,109257
2017-04-17,42000,42080,41520,41560,104495
2017-04-18,41680,41820,41280,41500,137213
2017-04-19,41300,41420,40900,40900,235258
2017-04-20,40580,40800,40080,40280,422977
2017-04-21,40480,41400,40480,40760,302610
2017-04-24,41260,41260,40920,41240,179803
2017-04-25,41460,42740,41320,42700,385992
2017-04-26,42700,42800,42520,42800,295896
2017-04-27,42700,44520,41960,43840,460645
2017-04-28,45780,45800,44520,44620,453714
2017-05-02,45500,45500,44760,44900,281366
2017-05-04,45700,45700,44860,45520,273802
2017-05-08,45520,47020,45340,47020,391651
2017-05-10,46160,47220,45600,45600,468219
2017-05-11,45420,46180,45220,45500,425557
2017-05-12,45760,46160,45660,45820,188458
2017-05-15,45620,46280,45620,46100,160028
2017-05-16,46660,46800,46100,46380,176075
2017-05-17,46120,46640,46100,46340,148489
2017-05-18,45740,46000,45540,45940,223207
2017-05-19,45640,45780,44720,44720,315247
2017-05-22,45040,45380,44760,45100,352871
